425000,240,241,1965,2015
290000,153.5,445,1958,1958
620000,183,828,1952,1952
320000,329,793,1988,1988
367000,138,841,2013,2013
367000,139.5,841,2013,2013
280000,259.5,436,1980,2006
599000,307.3,1395,2007,2007
430000,250,250,2011,2011
1500000,933,1562,1990,2015
193000,147,247,1979,2012
370000,220,490,1976,1976
540000,250,400,1997,1997
350000,336,750,1974,1974
490000,341,601,1964,1964
460000,465.4,1176,1973,1973
530000,250,489,1989,1989
430000,257,305,1968,2007
330000,180,530,1963,1963
430000,250,304,1968,2007
185000,145,484,1942,1942
550000,271.2,630,1950,2007
1250000,399,1984,2002,2002
310000,140,344,2011,2011
240000,190,756,1925,2010
250000,163.9,2295,1966,1966
250000,151.9,514,1971,1995
395000,276,564,2001,2001
439000,315,998,1985,2007
255000,201.1,722,1965,1985
255000,180,727,1965,1965
480000,262,538,1996,2010
355000,356,860,1991,1991
189000,49,190,1950,2001
465000,392.7,801,2000,2000
442000,360,622,2001,2001
425000,212,384,1987,1998
730000,393.8,988,2001,2011
275000,210,923,1987,2012
499000,240,600,2006,2006
699000,298,640,2008,2008
530000,410.6,1067,2003,2003
350000,280,636,1967,1996
250000,120,1240,1967,1967
245000,155,360,1970,1970
480000,267,666,2000,2000
540000,386.6,413,1926,1988
340000,240,329,1967,2008
670000,350,685,2013,2013
1050000,500,600,2008,2008
280000,190,320,1907,2005
